the_geom,SYSTEM,GISPROPNUM,BOROUGH,NAME,SHAPE_STAr,SHAPE_STLe
"MULTIPOLYGON (((-73.80381212219379 40.58522027375487, -73.80384451388885 40.58541972978427, -73.80394069238832 40.58601193739738, -73.80306575531257 40.5860843229435, -73.8028896551392 40.58509568491324, -73.80290997369649 40.58509294074582, -73.8029897826614 40.58508216054398, -73.80308048619212 40.58506518983354, -73.8031641361168 40.585034034492324, -73.80323561483284 40.58500295640479, -73.8033169893135 40.58498635405574, -73.80336509015343 40.58496965328538, -73.80337446333043 40.58493618507404, -73.80335188518441 40.58488880579002, -73.8033504905592 40.584885879395706, -73.80333875012755 40.584861241626044, -73.80332985967577 40.584790149704396, -73.80329800515085 40.58462268921819, -73.80325448105255 40.58446396365085, -73.80323433406136 40.58440253309627, -73.80324359571594 40.58437804744859, -73.80325328520695 40.58434745966876, -73.80326117209133 40.584336162568704, -73.80328039229809 40.58432887690423, -73.80329609942306 40.584328903796106, -73.80331790887236 40.58433160308662, -73.80333097502839 40.58433960861483, -73.80334620928768 40.58437386728155, -73.8033776739547 40.5844498804895, -73.80342653776651 40.584614449652705, -73.803470962405 40.58478121118379, -73.80348117927682 40.5848250734615, -73.80349345888982 40.58487201546228, -73.80350660395463 40.58492390102735, -73.80351157839425 40.5849405971786, -73.80351424631691 40.584949553868384, -73.80351576181828 40.58495154572158, -73.8035271293057 40.58495924304365, -73.80352727783708 40.58495934415653, -73.80355082385469 40.58496043172897, -73.80365461378327 40.58495296727778, -73.80376820845923 40.58494879198957, -73.80377815164935 40.58501110194441, -73.80381212219379 40.58522027375487)))",Q163-ZN05A-BCH0110,Q163,Q,Rockaway Beach,103079.115402,1697.46703925
"MULTIPOLYGON (((-73.80219540329239 40.5861438250007, -73.80206139696269 40.58528104629607, -73.80204929050247 40.58520309933595, -73.80213197757212 40.58518937186383, -73.80227017114495 40.58517395682675, -73.80242821050331 40.58515229638432, -73.80243958756458 40.58515073732529, -73.8024784158624 40.58514541533527, -73.80262909449728 40.58512156899369, -73.80274951326905 40.585113381083794, -73.80285041000569 40.58510098651534, -73.80285337596163 40.585100585467366, -73.8028896551392 40.58509568491324, -73.80306575531257 40.5860843229435, -73.80258418353655 40.58612090707525, -73.80219540329239 40.5861438250007)))",Q163-ZN05A-BCH0109,Q163,Q,Rockaway Beach,85226.5605316,1188.19386516
"MULTIPOLYGON (((-73.79842286341552 40.5867130880967, -73.79784728354524 40.586819129586054, -73.79745355331887 40.58688711839745, -73.79731254907604 40.586202974401935, -73.79732907160061 40.5861979651049, -73.79735257068876 40.586189717211795, -73.79738416650527 40.586182774045675, -73.79742548331748 40.586175929957825, -73.79745140258238 40.58617199532773, -73.79750000784676 40.58616461564097, -73.79755436418448 40.58615535136039, -73.79760451253576 40.58614509176492, -73.79765595396475 40.58613532881345, -73.79769888639967 40.58612972209354, -73.79774376457067 40.586123625294476, -73.79778867935053 40.58611752854233, -73.79782938879056 40.586109173959045, -73.79786588797008 40.5860997961615, -73.7979039243909 40.58609415373591, -73.79801328446986 40.586075900565646, -73.7980647736079 40.5860624318512, -73.79811339948328 40.58604349639344, -73.79815443398182 40.586034646977026, -73.79819773179644 40.58602731260357, -73.79825315150339 40.58601162730981, -73.79827409055312 40.58600383580257, -73.79842286341552 40.5867130880967)))",Q162-ZN04C-BCH0083,Q162,Q,Rockaway Beach,70284.2743683,1068.35131055
"MULTIPOLYGON (((-73.79639354504901 40.58707015350087, -73.7962671687168 40.58635503263182, -73.79626433664919 40.58633900545359, -73.7962734264789 40.58633847134963, -73.79630581341014 40.58634368968357, -73.7963509109723 40.58634824343621, -73.79639148193822 40.58634976968657, -73.79645291185749 40.58634702386021, -73.79650986565392 40.58633631032554, -73.79654076333121 40.58633408671138, -73.79657462763319 40.5863273945287, -73.79660492814442 40.586319954894726, -73.79661501854306 40.586317063157125, -73.79663583717758 40.58631399859538, -73.79666442739486 40.58631273172505, -73.79670467686888 40.58631354407946, -73.79675181480309 40.58631019646864, -73.79679604287878 40.5863050867664, -73.79684058858304 40.586301954263085, -73.79688966850193 40.58629935116227, -73.79692503537778 40.58629766485427, -73.7969384794442 40.58629702402655, -73.79697904201119 40.58629509023428, -73.79700995099952 40.586289133834256, -73.7970298484475 40.58628134611655, -73.79704363025873 40.58627179066705, -73.79707411734795 40.58625073708881, -73.79711552770348 40.58623645493381, -73.79716863399717 40.586224224997615, -73.79720994225995 40.58621982319829, -73.79725287221419 40.58621545306255, -73.79728604445916 40.58621100986338, -73.79731254907604 40.586202974401935, -73.79745355331887 40.58688711839745, -73.79639354504901 40.58707015350087)))",Q162-ZN04C-BCH0084,Q162,Q,Rockaway Beach,74989.9809875,1124.32531005
"MULTIPOLYGON (((-73.79639354504901 40.58707015350087, -73.79615794602658 40.587110833971714, -73.7956152617862 40.58721656873606, -73.79547812434494 40.58656627111949, -73.7955105941943 40.58656024225664, -73.79554774167129 40.5865511130927, -73.79558359486863 40.58654148812596, -73.79561944805833 40.58653186224755, -73.79564392414096 40.586522134175816, -73.7956570465593 40.586515453098784, -73.79566256667917 40.586512643369296, -73.79569389207988 40.586499989952046, -73.79573108248987 40.58648839066273, -73.79575939936646 40.58648267673468, -73.79585150706097 40.58646703079144, -73.79588181267363 40.58645835583553, -73.79590568513179 40.58644590974917, -73.79592955758375 40.5864334627573, -73.79595144009173 40.586423977658306, -73.79597428793204 40.58641671676718, -73.79599936857956 40.58640973449625, -73.79601888923004 40.58640740887446, -73.79603484736347 40.58640430787625, -73.7960465572259 40.586401419063364, -73.7960577076829 40.58639334222721, -73.79606071347344 40.586387665244004, -73.79605997310796 40.586370563843815, -73.7960422805603 40.58632197338161, -73.79604125794303 40.58631916552769, -73.79600980993334 40.586232795193084, -73.79597470157476 40.586124348260526, -73.79591650616823 40.5859445899877, -73.79588594601383 40.58584802813953, -73.79588701570162 40.585816107295805, -73.79589475009958 40.58579487672789, -73.79590632300996 40.58577763240199, -73.79592311064934 40.58576240100732, -73.79593583358393 40.585758059655674, -73.79596016661961 40.58575947527093, -73.79597927100832 40.585763818212, -73.79599569965795 40.58577213672376, -73.79600911012942 40.585789809941346, -73.79606462421202 40.58599126698579, -73.79615065955123 40.586313523366314, -73.79616110132666 40.586335222051936, -73.79616244059049 40.586338004351305, -73.79616393244015 40.58634110480695, -73.7961728567805 40.58635454297702, -73.79618053242102 40.58636377887867, -73.79619376058488 40.58637080123038, -73.79620384228703 40.58637038055649, -73.79621656917453 40.586364775743, -73.79622975131477 40.58635126781977, -73.79623233499889 40.586349592921046, -73.79623559212374 40.58634748066042, -73.7962471033089 40.586340016803284, -73.79626433664919 40.58633900545359, -73.7962671687168 40.58635503263182, -73.79639354504901 40.58707015350087)))",Q162-ZN04C-BCH0085,Q162,Q,Rockaway Beach,64749.4258423,1417.56957759
"MULTIPOLYGON (((-73.7956152617862 40.58721656873606, -73.79468204313955 40.58739839789716, -73.7945258479515 40.586774749466564, -73.79466805489211 40.58674420659935, -73.79472930182114 40.58673081084708, -73.79476904553636 40.586720232223534, -73.79480818319544 40.58670814232205, -73.79484598497916 40.586696792055406, -73.79488605121378 40.58668695419955, -73.79492805562855 40.58667909734386, -73.79496649363978 40.58667172759702, -73.79501308025888 40.58666069372681, -73.79506323198756 40.58664920062465, -73.79512185368256 40.58663478508823, -73.79515769941219 40.58662762948297, -73.79525563712166 40.5866130102037, -73.79531231296845 40.586599084590986, -73.79535371752847 40.58658727320255, -73.79538952658768 40.58658011836022, -73.79543084015098 40.58657448258849, -73.79546959942651 40.586567854378295, -73.79547812434494 40.58656627111949, -73.7956152617862 40.58721656873606)))",Q162-ZN04B-BCH0086,Q162,Q,Rockaway Beach,64076.86203,1014.40397394
"MULTIPOLYGON (((-73.79468204313955 40.58739839789716, -73.79424649674579 40.58748325429758, -73.79358240896246 40.58761467734055, -73.7933962078748 40.58697872450718, -73.79346675101678 40.58694599203989, -73.79351181632495 40.58692628307832, -73.79354054616749 40.58691510874923, -73.79356566923366 40.5869056290264, -73.79359726569906 40.58689871391772, -73.79361095816722 40.58689533542608, -73.79363057399907 40.586885599052536, -73.7936309903999 40.58687890258925, -73.79362938152462 40.586852164886515, -73.79362024191234 40.58682788019799, -73.79361909960993 40.58682484427444, -73.79356817400368 40.586689535223684, -73.79351700078281 40.58650716061573, -73.79345077208657 40.58628968343186, -73.79345695326462 40.58626640874301, -73.7934787926318 40.58625912942478, -73.7934849088371 40.58625647936375, -73.79351118459346 40.58625729023354, -73.79353722178953 40.58625503077566, -73.7935478676972 40.58625856375706, -73.7935610954771 40.58626561432809, -73.79363270482396 40.58647585818221, -73.79373395252533 40.58677670577889, -73.79373691374865 40.58679126449399, -73.79373756068198 40.586794444511774, -73.79373944912886 40.586803725119715, -73.79374768225956 40.58681938473545, -73.79376117965691 40.5868321180853, -73.79377700871827 40.586836455512774, -73.79379199416185 40.58683359982415, -73.79382224951708 40.58682986650641, -73.79385115755791 40.586830577560384, -73.79388936659022 40.586839292055906, -73.79397813744572 40.586855315825034, -73.79401125954904 40.586855814666265, -73.7940643695325 40.58684235064877, -73.7941014261834 40.58683942551215, -73.79414005921736 40.58683897333042, -73.79417281191105 40.586842435093985, -73.79419686435945 40.58684187482545, -73.79422356098506 40.58683613045723, -73.79426265069124 40.586827774235864, -73.79430530172687 40.58682019252533, -73.7943625814447 40.58680898624889, -73.79441730551432 40.58679799509963, -73.79445538566304 40.586789883750534, -73.7945258479515 40.586774749466564, -73.79468204313955 40.58739839789716)))",Q162-ZN04B-BCH0087,Q162,Q,Rockaway Beach,85187.6195984,1553.09993245
"MULTIPOLYGON (((-73.79358240896246 40.58761467734055, -73.79270799637906 40.58778771422309, -73.79252634150004 40.58720457231559, -73.79259060007325 40.58719084274159, -73.79266027753198 40.587175762215594, -73.79274243673537 40.58715312893861, -73.7928128061225 40.58713582616982, -73.79287887777232 40.587122468019125, -73.79293231064528 40.587109774155586, -73.79298740347514 40.58709581982007, -73.7930330216404 40.5870837971303, -73.79307697880336 40.58707297993686, -73.79312092939747 40.587064659873164, -73.79321049316648 40.58704552462869, -73.7932646167195 40.58703060845536, -73.79330996042113 40.587014111349156, -73.7933481294365 40.58700103232517, -73.7933962078748 40.58697872450718, -73.79358240896246 40.58761467734055)))",Q162-ZN04B-BCH0088,Q162,Q,Rockaway Beach,56675.323761,962.625214337
"MULTIPOLYGON (((-73.79270799637906 40.58778771422309, -73.79180630187761 40.5879661477115, -73.7915999626062 40.587320374856795, -73.79188539751252 40.58734031294545, -73.79195356582933 40.587336181409796, -73.79202015790241 40.587329549822236, -73.7922389455314 40.5872854524514, -73.79236531155381 40.5872508926568, -73.79238690257813 40.58724498729975, -73.7924400613336 40.58722781845643, -73.79248766861608 40.58721283504484, -73.79252634150004 40.58720457231559, -73.79270799637906 40.58778771422309)))",Q162-ZN04B-BCH0089,Q162,Q,Rockaway Beach,56278.8620911,984.524895994
"MULTIPOLYGON (((-73.79180630187761 40.5879661477115, -73.7917441849283 40.587978435385104, -73.7909797418428 40.58812773952115, -73.79077487378623 40.5875150855986, -73.79078858376111 40.5875111068241, -73.79082281709684 40.587501617272096, -73.79086884023327 40.58748685137499, -73.79091547058039 40.587473568830085, -73.79094910051198 40.5874613612558, -73.79098564136561 40.587450914992424, -73.79102542598618 40.58743929402754, -73.79105788079968 40.58742285721552, -73.79108178950997 40.58741054907613, -73.79110657975639 40.58740417069661, -73.79112181304633 40.58740334829354, -73.79115490213078 40.58740277717237, -73.79117632438627 40.58740254144703, -73.7911877497435 40.587398966411065, -73.79119204629629 40.58739504882667, -73.79119185562114 40.58738689691957, -73.79114021795095 40.58726994992307, -73.79113951654345 40.58726836282193, -73.79113912039777 40.587266991501345, -73.791093818651 40.58711012397732, -73.79101230772089 40.586879768896196, -73.79095840914233 40.58674193630238, -73.79095570611845 40.58673150059221, -73.79096179315896 40.586718968240085, -73.79097330079438 40.58671171562701, -73.79099153116708 40.586707713533315, -73.7910126369138 40.58670550150914, -73.79103077968286 40.58670646745174, -73.79104916399889 40.586710646006914, -73.79106369735025 40.5867145149798, -73.79107162664756 40.58672325819659, -73.79114809965081 40.586929833798585, -73.79125707468631 40.58727047385974, -73.79125804444546 40.58727350499075, -73.79126299735172 40.58728898682511, -73.79126624020876 40.587298306855914, -73.79127567889282 40.587315464612615, -73.79128535680809 40.58731806219941, -73.79129932622314 40.587317977709404, -73.79131796548684 40.58730980416991, -73.79133425403235 40.58730505826275, -73.79136507607552 40.58730418038735, -73.79139192291845 40.58730796271246, -73.79142877674097 40.587312613293086, -73.79146283491887 40.58731300470358, -73.79148843452622 40.5873125846896, -73.7915999626062 40.587320374856795, -73.79180630187761 40.5879661477115)))",Q162-ZN04B-BCH0090,Q162,Q,Rockaway Beach,66429.7207642,1439.60366865
