PCT,CRIME,2019,2020,2021,2022,2023
1,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,5,24,4,11,5
1,MISDEMEANOR SEX CRIMES (4),81,52,66,94,75
1,MISDEMEANOR DANGEROUS DRUGS  (1),32,10,10,20,7
1,MISDEMEANOR DANGEROUS WEAPONS (5)               ,12,7,10,13,16
1,PETIT LARCENY                         ,2324,1724,2325,4058,4204
1,ASSAULT 3 AND RELATED OFFENSES        ,395,257,365,377,414
1,INTOXICATED & IMPAIRED DRIVING              ,16,9,15,24,22
1,VEHICLE AND TRAFFIC LAWS              ,62,38,46,90,99
1,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ,343,352,383,425,362
1,CRIMINAL TRESPASS,77,84,58,92,57
1,UNAUTHORIZED USE OF A VEHICLE           ,7,12,16,11,15
1,OFFENSES AGAINST THE PERSON (7)      ,13,12,10,13,9
1,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),70,62,67,60,65
1,ADMINISTRATIVE CODE (6)            ,4,2,2,4,0
1,FRAUDS (3)                    ,102,38,68,111,47
1,AGGRAVATED HARASSMENT 2               ,335,186,214,225,226
1,OTHER MISDEMEANORS (8),311,159,196,190,212
1,TOTAL MISDEMEANOR OFFENSES,4189,3028,3855,5818,5835
5,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,5,18,4,3,5
5,MISDEMEANOR SEX CRIMES (4),84,41,89,103,61
5,MISDEMEANOR DANGEROUS DRUGS  (1),76,28,39,84,58
5,MISDEMEANOR DANGEROUS WEAPONS (5)               ,7,3,8,12,18
5,PETIT LARCENY                         ,990,649,666,969,1104
5,ASSAULT 3 AND RELATED OFFENSES        ,508,278,317,384,388
5,INTOXICATED & IMPAIRED DRIVING              ,17,4,14,19,13
5,VEHICLE AND TRAFFIC LAWS              ,57,41,51,88,105
5,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ,270,360,406,345,262
5,CRIMINAL TRESPASS,77,35,20,57,35
5,UNAUTHORIZED USE OF A VEHICLE           ,5,3,0,3,1
5,OFFENSES AGAINST THE PERSON (7)      ,11,6,14,7,8
5,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),53,49,42,50,45
5,ADMINISTRATIVE CODE (6)            ,2,3,3,3,0
5,FRAUDS (3)                    ,126,29,44,52,90
5,AGGRAVATED HARASSMENT 2               ,144,66,89,97,102
5,OTHER MISDEMEANORS (8),195,110,112,116,123
5,TOTAL MISDEMEANOR OFFENSES,2627,1723,1918,2392,2418
6,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,13,7,2,11,7
6,MISDEMEANOR SEX CRIMES (4),53,35,49,51,64
6,MISDEMEANOR DANGEROUS DRUGS  (1),246,126,132,148,154
6,MISDEMEANOR DANGEROUS WEAPONS (5)               ,7,15,9,19,12
6,PETIT LARCENY                         ,1318,1328,1323,1963,2071
6,ASSAULT 3 AND RELATED OFFENSES        ,355,258,325,412,426
6,INTOXICATED & IMPAIRED DRIVING              ,26,8,8,11,10
6,VEHICLE AND TRAFFIC LAWS              ,36,19,32,63,62
6,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ,243,274,319,303,247
6,CRIMINAL TRESPASS,91,105,77,97,75
6,UNAUTHORIZED USE OF A VEHICLE           ,12,3,10,8,12
6,OFFENSES AGAINST THE PERSON (7)      ,8,16,8,7,8
6,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),54,74,56,56,57
6,ADMINISTRATIVE CODE (6)            ,1,3,0,0,1
6,FRAUDS (3)                    ,42,27,40,25,30
6,AGGRAVATED HARASSMENT 2               ,146,81,93,97,97
6,OTHER MISDEMEANORS (8),182,128,158,197,152
6,TOTAL MISDEMEANOR OFFENSES,2833,2507,2641,3468,3485
7,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,6,4,6,5,18
7,MISDEMEANOR SEX CRIMES (4),46,33,49,47,70
7,MISDEMEANOR DANGEROUS DRUGS  (1),42,22,36,55,30
7,MISDEMEANOR DANGEROUS WEAPONS (5)               ,21,9,15,16,23
7,PETIT LARCENY                         ,758,820,1694,2175,1275
7,ASSAULT 3 AND RELATED OFFENSES        ,490,365,328,449,449
7,INTOXICATED & IMPAIRED DRIVING              ,28,12,18,28,28
7,VEHICLE AND TRAFFIC LAWS              ,51,35,63,101,147
7,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ,357,380,420,364,281
7,CRIMINAL TRESPASS,112,34,38,49,24
7,UNAUTHORIZED USE OF A VEHICLE           ,2,3,8,5,6
7,OFFENSES AGAINST THE PERSON (7)      ,9,8,13,10,8
