the_geom,NAME,STREETNAME,HOUSENUM,CITY,ZIP,URL,BIN,BBL,X,Y,SYSTEM,BOROCODE
POINT (-73.95353074430393 40.80297988196676),115th Street,West 115th Street,203,New York,10026,http://www.nypl.org/locations/115th-street,"1,055,236",1018310026,"997,115.12977","231,827.652864",NYPL,1
POINT (-73.9348475633247 40.80301816141575),125th Street,East 125th Street,224,New York,10035,http://www.nypl.org/locations/125th-street,"1,054,674",1017890037,"1,002,287.604","231,844.894956",NYPL,1
POINT (-73.97736329270697 40.76080689474172),53rd Street,West 53rd Street,18,New York,10019,http://www.nypl.org/locations/53rd-street,"1,089,376",1012687503,"990,521","216,460",NYPL,1
POINT (-73.9693817046576 40.7621860177235),58th Street,East 58th Street,127,New York,10022,http://www.nypl.org/locations/58th-street,"1,037,165",1013130005,"992,731.946935","216,963.13174",NYPL,1
POINT (-73.95954994584243 40.764915006253425),67th Street,East 67th Street,328,New York,10065,http://www.nypl.org/locations/67th-street,"1,044,749",1014410038,"995,455.102906","217,958.496876",NYPL,1
POINT (-73.9518056716208 40.785959798621555),96th Street,East 96th Street,112,New York,10128,http://www.nypl.org/locations/96th-street,"1,048,501",1015240064,"997,596.132088","225,626.905751",NYPL,1
POINT (-73.94345827853815 40.79421476546373),Aguilar,East 110th Street,174,New York,10029,http://www.nypl.org/locations/aguilar,"1,052,167",1016370141,"999,905.778015","228,635.855591",NYPL,1
POINT (-73.86322248483968 40.866804429026935),Allerton,Barnes Avenue,2740,Bronx,10467,http://www.nypl.org/locations/allerton,"2,053,752",2045130016,"1,022,080.87479","255,107.424218",NYPL,2
POINT (-73.99335691118674 40.74046545561088),Andrew Heiskell Braille and Talking Book,West 20th Street,40,New York,10011,http://www.nypl.org/locations/heiskell,"1,076,145",1008217501,"986,090.883117","209,048.217124",NYPL,1
POINT (-74.0157487123272 40.715690873439094),Battery Park City Library,North End Avenue,175,New York,10282,http://www.nypl.org/locations/battery-park-city,"1,087,518",1000167516,"979,884.211806","200,022.388889",NYPL,1
POINT (-73.82931594567218 40.87075330808789),Baychester,Asch Loop North,2049,Bronx,10475,http://www.nypl.org/locations/baychester,"2,097,466",2051410100,"1,031,456.16667","256,562.611111",NYPL,2
POINT (-73.88788268526544 40.85434421451861),Belmont Library and Enrico Fermi Cultural Center,East 186th Street,610,Bronx,10458,http://www.nypl.org/locations/belmont,"2,012,129",2030730020,"1,015,266","250,558",NYPL,2
POINT (-73.96760677135273 40.79587354648015),Bloomingdale,West 100th Street,150,New York,10025,http://www.nypl.org/locations/bloomingdale,"1,055,906",1018520049,"993,219.104167","229,236.8125",NYPL,1
POINT (-73.89450288645044 40.86298060519321),Bronx Library Center,East Kingsbridge Road,310,Bronx,10458,http://www.nypl.org/locations/bronx-library-center,"2,116,006",2031540083,"1,013,430.80678","253,702.292842",NYPL,2
POINT (-73.85017019717382 40.82662920810023),Castle Hill,Castle Hill Avenue,947,Bronx,10473,http://www.nypl.org/locations/castle-hill,"2,022,944",2036880042,"1,025,716","240,476",NYPL,2
POINT (-73.99648986636721 40.71333307050747),Chatham Square,East Broadway,33,New York,10002,http://www.nypl.org/locations/chatham-square,"1,003,425",1002800044,"985,223.098108","199,162.996737",NYPL,1
POINT (-73.78636658900808 40.8476919036199),City Island,City Island Avenue,320,Bronx,10464,http://www.nypl.org/locations/city-island,"2,082,611",2056440007,"1,043,355.15999","248,186.534188",NYPL,2
POINT (-73.87502060024048 40.82999287527917),Clason's Point,Morrison Avenue,1215,Bronx,10472,http://www.nypl.org/locations/clasons-point,"2,025,381",2037770062,"1,018,836.80778","241,690.718112",NYPL,2
POINT (-73.99122081783712 40.764934618394804),Columbus,10th Avenue,742,New York,10019,http://www.nypl.org/locations/columbus,"1,026,706",1010600063,"986,681.927867","217,963.176984",NYPL,1
POINT (-73.94116092350963 40.81483582138157),Countee Cullen,West 136th Street,104,New York,10030,http://www.nypl.org/locations/countee-cullen,"1,058,275",1019200026,"1,000,536.84375","236,149.25",NYPL,1
POINT (-74.1011372893581 40.59039133599787),Dongan Hills,Richmond Road,1617,Staten Island,10304,http://www.nypl.org/locations/dongan-hills,"5,022,895",5008830008,"956,160.468897","154,388.115158",NYPL,5
POINT (-73.84506427532864 40.87013970297055),Eastchester,East Gun Hill Road,1385,Bronx,10469,http://www.nypl.org/locations/eastchester,"2,061,767",2047620022,"1,027,101.04421","256,330.955892",NYPL,2
POINT (-73.84083712785493 40.88889489584642),Edenwald,East 233rd Street,1255,Bronx,10466,http://www.nypl.org/locations/edenwald,"2,066,596",2049560001,"1,028,257.74202","263,166.306066",NYPL,2
POINT (-73.98204888964264 40.738087120390595),Epiphany,East 23rd Street,228,New York,10010,http://www.nypl.org/locations/epiphany,"1,019,661",1009030046,"989,224.655065","208,182.154224",NYPL,1
POINT (-73.93386591312449 40.847870041168214),Fort Washington,West 179th Street,535,New York,10033,http://www.nypl.org/locations/fort-washington,"1,063,632",1021530053,"1,002,547.03885","248,186.270081",NYPL,1
POINT (-73.90931635032427 40.85742189422779),Francis Martin,University Avenue,2150,Bronx,10453,http://www.nypl.org/locations/francis-martin,"2,014,579",2032110005,"1,009,335.45802","251,672.452413",NYPL,2
POINT (-73.95705320654999 40.813768964572695),George Bruce,West 125th Street,518,New York,10027,http://www.nypl.org/locations/george-bruce,"1,059,688",1019800022,"996,138","235,758",NYPL,1
POINT (-73.97356771683344 40.754067875550625),Grand Central,East 46th Street,135,New York,10017,http://www.nypl.org/locations/grand-central,"1,036,206",1013010023,"991,573.221234","214,005.050058",NYPL,1
POINT (-73.91008714449384 40.844001911750446),Grand Concourse,East 173rd Street,155,Bronx,10457,http://www.nypl.org/locations/grand-concourse,"2,007,870",2028240034,"1,009,127.25502","246,782.825054",NYPL,2
POINT (-74.15111164313684 40.55242326280796),Great Kills,Giffords Lane,56,Staten Island,10308,http://www.nypl.org/locations/great-kills,"5,070,285",5054360019,"942,256.908778","140,575.415093",NYPL,5
POINT (-73.97942314417445 40.71978015438276),Hamilton Fish Park,East Houston Street,415,New York,10002,http://www.nypl.org/locations/hamilton-fish-park,"1,004,070",1003350001,"989,953.874634","201,512.516602",NYPL,1
POINT (-73.94803241890192 40.82567237379984),Hamilton Grange,West 145th Street,503,New York,10031,http://www.nypl.org/locations/hamilton-grange,"1,061,938",1020770026,"998,632.449898","240,096.19407",NYPL,1
POINT (-73.94331559838257 40.80616044207548),Harlem,West 124th Street,9,New York,10027,http://www.nypl.org/locations/harlem,"1,053,460",1017220030,"999,942.468275","232,988.107892",NYPL,1
