the_geom,OBJECTID,LOCATION,GISPROPNUM,COUNCILDIS,BOROUGH,NAME,POOLTYPE,SHAPE_STAr,SHAPE_STLe
"MULTIPOLYGON (((-73.89854807978361 40.83945171469163, -73.89818724520086 40.83933438115879, -73.89817715050593 40.83931558074005, -73.89818279386012 40.839302773494, -73.89818956243367 40.839289968141415, -73.89819745254967 40.83927801744655, -73.89821773105048 40.83925582736127, -73.89822899302501 40.83924558787669, -73.89824250295007 40.83923620314201, -73.8982560115616 40.83922767477428, -73.89827064408748 40.83922000016408, -73.89828639934072 40.83921318021037, -73.89830215316371 40.83920806939077, -73.89831903102011 40.839202959559934, -73.89833590626341 40.83919955796135, -73.89835277901368 40.83919701092689, -73.8983707756798 40.83919531854852, -73.89840563975649 40.839195349262816, -73.89842363239013 40.83919707334676, -73.89844162123126 40.83920050566162, -73.8984584860371 40.839203937884534, -73.89847422420463 40.83920907554939, -73.89848995751362 40.8392150677766, -73.8985056929593 40.839222770041495, -73.8985203008181 40.83923046951119, -73.8985337833391 40.83923902345831, -73.89854614052518 40.839248430082264, -73.89855737237771 40.83925868848291, -73.8985674765211 40.839269801359976, -73.89857645532929 40.83928176691484, -73.89858431010335 40.839293731480666, -73.89859103835444 40.83930654962423, -73.89859551734685 40.83931936578988, -73.8985988734901 40.839332180067686, -73.89860110073408 40.83934584972271, -73.89860220512901 40.83935951658951, -73.89860106037675 40.83937232781081, -73.89859879146975 40.839385991712014, -73.89859539626816 40.83939880005417, -73.89859087690766 40.83941246287707, -73.89858411088586 40.83942441458691, -73.89857621963628 40.83943636530687, -73.89854807978361 40.83945171469163)))",205,Outdoor,X010,15,X,Crotona Pool,Diving,7173.03729248,326.892595219
"MULTIPOLYGON (((-73.91421023756875 40.81150836610072, -73.91397208548891 40.81142891330739, -73.9140287282753 40.81133090213759, -73.91426688007206 40.81141035481522, -73.91421023756875 40.81150836610072)))",206,Indoor,X045,17,X,St. Mary's Pool,Intermediate,2807.98722839,221.999701843
"MULTIPOLYGON (((-73.76960783669826 40.687357868963815, -73.76939328767705 40.68723255196305, -73.76945914015147 40.68716722445411, -73.76967368790017 40.68729254223126, -73.76960783669826 40.687357868963815)))",207,Indoor,Q448,27,Q,Roy Wilkins Pool,Intermediate,2249.99740601,209.999708732
"MULTIPOLYGON (((-73.89668190610813 40.88999983531542, -73.89650605581274 40.88995170349949, -73.89656483025435 40.88982826355332, -73.89674376110656 40.88987535167228, -73.89668190610813 40.88999983531542)))",208,Outdoor,X092,11,X,Van Cortlandt Pool,Wading,2504.44326782,200.341723924
"MULTIPOLYGON (((-73.94970436686577 40.72060653723649, -73.94922571824465 40.72065551479116, -73.94922146869196 40.720654923374816, -73.94921740261438 40.72065381298878, -73.94921362871405 40.72065221331802, -73.94921024788204 40.72065016712798, -73.94920735050114 40.720647729121296, -73.94920501402962 40.720644964475454, -73.94920330093039 40.72064194710016, -73.94920225700118 40.72063875766164, -73.94906034416891 40.719770023539276, -73.94905984484032 40.719767632247056, -73.94905987109605 40.71976521104656, -73.94906042221591 40.71976282634847, -73.94906148308324 40.719760543562195, -73.9490630245997 40.719758425301784, -73.9490650044833 40.71975652966863, -73.94906736842819 40.71975490865763, -73.94907005159418 40.71975360673117, -73.94907298038525 40.71975265959951, -73.94907607446822 40.71975209324133, -73.94959648437977 40.719702084601344, -73.94959978816553 40.719702107777266, -73.9496030411469 40.71970254751653, -73.94960615322594 40.71970339163964, -73.94960903820726 40.71970461676691, -73.94961161618536 40.719706188965915, -73.9496138157579 40.71970806469137, -73.94961557600314 40.719710191991275, -73.94961684816745 40.719712511945644, -73.94961759701559 40.719714960298624, -73.9496178018066 40.71971746923802, -73.94964687132489 40.719916519855595, -73.94964710539962 40.71991923350048, -73.94964674910047 40.71992193943796, -73.94964581215064 40.71992456382391, -73.9496443201191 40.71992703503972, -73.94964231372288 40.71992928564674, -73.94963984771579 40.71993125422663, -73.94963698939434 40.71993288705747, -73.94963381676116 40.71993413957988, -73.94963041639639 40.71993497761287, -73.94942170118702 40.71995470093137, -73.94941873294977 40.71995506634973, -73.94941587648054 40.71995578076595, -73.94941320220225 40.7199568265669, -73.94941077604604 40.719958177969616, -73.94940865782593 40.71995980165687, -73.94940689976416 40.719961657598546, -73.9494055452037 40.719963700038626, -73.94940462753969 40.71996587862315, -73.94940416939608 40.719968139641665, -73.94947584614671 40.720387009055095, -73.94947639807594 40.72038835712519, -73.94947723599726 40.72038961696617, -73.94947833673916 40.72039075373893, -73.9494796698621 40.72039173600755, -73.94948119850044 40.72039253660872, -73.94948288038177 40.72039313340295, -73.94948466899598 40.7203935098867, -73.9494865148814 40.720393655648806, -73.94948836699261 40.72039356665842, -73.94968645298594 40.7203734018279, -73.94972346576907 40.720586900056475, -73.94972374793183 40.720589609757404, -73.9497234621533 40.72059231923899, -73.94972261565538 40.72059496002924, -73.94972122983006 40.720597465392075, -73.94971933969885 40.72059977201386, -73.94971699302766 40.72060182160337, -73.9497142491198 40.72060356236488, -73.94971117731721 40.72060495030719, -73.94970785524826 40.720605950355214, -73.94970436686577 40.72060653723649)))",209,Outdoor,B058,33,B,McCarren Park Pool,Olympic,39442.4838867,1075.74674499
"MULTIPOLYGON (((-73.94952185860986 40.71962331312114, -73.94916034079222 40.7196607368313, -73.94915030630229 40.719571047015016, -73.94915143744554 40.71955908784227, -73.94915481433884 40.71954798604627, -73.94915819188358 40.71953602876599, -73.94916381280973 40.719524928861134, -73.94917055746926 40.71951468133452, -73.94917842295999 40.719504435202744, -73.94918741165003 40.71949418866566, -73.94920763281797 40.719477114914945, -73.9492323431095 40.71946175050709, -73.94924581896615 40.719455777963056, -73.94925929416983 40.71945066000111, -73.94927389192247 40.71944639531509, -73.9492896110403 40.71944298480454, -73.94930420565571 40.71944128386508, -73.94931992347179 40.71943958161719, -73.94933564182097 40.71943873395129, -73.94935135768733 40.719439595450055, -73.94936595088836 40.71944131103685, -73.94938166545901 40.71944387989774, -73.94939625736541 40.719447302846945, -73.94941084679236 40.719452434961084, -73.94942431538973 40.71945756477999, -73.94943778150892 40.719464403764114, -73.94945012561385 40.719471242253995, -73.94946134587259 40.71947893483315, -73.94947256667028 40.71948748109488, -73.94948153923744 40.71949688095292, -73.94949051234377 40.719507134493895, -73.94949724141725 40.71951738704987, -73.9495039686617 40.71952849418849, -73.94951293271677 40.719550706495525, -73.94951517006274 40.7195626653479, -73.94952185860986 40.71962331312114)))",210,Outdoor,B058,33,B,Mccarren,Diving,6391.54127502,307.151551716
"MULTIPOLYGON (((-73.9219375048042 40.779128346182915, -73.92235403198352 40.779422452528216, -73.92235403098807 40.77942330620381, -73.92235515202103 40.77942501701321, -73.9223551510256 40.779425870688804, -73.92235627424186 40.77942672512192, -73.92235626527784 40.77943441270485, -73.9223540160469 40.77943611944241, -73.92235401505144 40.77943697311799, -73.92234951540355 40.779440387492656, -73.92233826843812 40.77945062943175, -73.922324772856 40.779460016177794, -73.9223112794517 40.77946854834696, -73.92228204620129 40.77948390291241, -73.92226743293735 40.77949072606808, -73.92225057105786 40.779496693128024, -73.9222348322016 40.77950266274436, -73.92220111241843 40.77951118124937, -73.92218313149192 40.779513731037866, -73.92216627477724 40.7795162815829, -73.9221482936615 40.77951797768953, -73.92213031472777 40.77951882011861, -73.92211233679318 40.779518807968806, -73.92209548288704 40.77951794199927, -73.92207750576715 40.77951622159156, -73.922059530832 40.7795136475062, -73.92204267992726 40.77951021960167, -73.92200898130831 40.7795016555344, -73.92199213341154 40.779495664794716, -73.92197640736025 40.77948967571265, -73.92196181008083 40.779482831915594, -73.92194721143589 40.779475134439416, -73.92193261379515 40.77946658328584, -73.92191914037036 40.7794580328921, -73.92190679316448 40.77944777500699, -73.9218944437754 40.77943837169581, -73.92188322060657 40.77942725999316, -73.9218731204684 40.7794161490508, -73.92186414454486 40.77940503886987, -73.92185516962617 40.779393075012564, -73.92184731773695 40.77938111191614, -73.92183611162963 40.77935548051949, -73.92183163219764 40.77934266513264, -73.92182715377066 40.779328995169486, -73.92182492257939 40.77931532763116, -73.92182381441506 40.77930165995412, -73.92182384550154 40.77927518160194, -73.92182837205661 40.77924785172247, -73.92183739224984 40.77922223404443, -73.92184302477547 40.77920942551609, -73.9218497815067 40.77919661774994, -73.92185766025537 40.779184665321, -73.9218666643933 40.77917271365456, -73.92187566752636 40.77916161566303, -73.92188691551655 40.77915051919248, -73.92189816486886 40.779140278199066, -73.92191053605725 40.7791300361638, -73.92191391049691 40.77912747652098, -73.9219161587287 40.77912662256707, -73.92191728175068 40.77912662332803, -73.92191952998029 40.7791257711751, -73.92193076612301 40.779125778787865, -73.92193188932877 40.77912663322512, -73.92193413655731 40.779126634747506, -73.92193525857641 40.77912749098496, -73.9219375048042 40.779128346182915)))",211,Outdoor,Q004,22,Q,Astoria,Wading,12202.4777069,439.778490348
"MULTIPOLYGON (((-73.97537704308279 40.73600454021375, -73.97532470377656 40.736068043625686, -73.9752985911735 40.73605597662642, -73.97527996235159 40.73594971991456, -73.97529813809537 40.735927327285346, -73.97536880002038 40.73596256037993, -73.97537704308279 40.73600454021375)))",212,Outdoor,M164,4,M,Asser Levy Pool,Wading,879.947769165,123.297035939
"MULTIPOLYGON (((-73.9757585100003 40.73623547081439, -73.97555169059785 40.736145651872114, -73.97559821407941 40.73608367978975, -73.97580501795817 40.73617350945212, -73.9757585100003 40.73623547081439)))",213,Indoor,M164,4,M,Asser Levy Pool,Intermediate,1715.8069458,183.992783106
"MULTIPOLYGON (((-73.88620760448572 40.84645972094958, -73.88609349171574 40.84659536124331, -73.88586724487563 40.84648251295516, -73.8859826853814 40.84634586924453, -73.88620760448572 40.84645972094958)))",214,Outdoor,X236,15,X,Mapes Pool,Intermediate,4407.18605042,267.469917349
